COUNTYFP,NEVER,RARELY,SUM OF NEVER & RARELY,SOMETIMES,FREQUENTLY,ALWAYS,SUM OF ALWAYS AND FREQUNTLY,STATE
18123,0.01,0.109,0.119,0.087,0.252,0.542,0.794,IN
18125,0.052,0.089,0.141,0.163,0.2,0.495,0.695,IN
18127,0.05,0.1,0.15,0.108,0.231,0.512,0.743,IN
18129,0.132,0.056,0.188,0.115,0.226,0.472,0.698,IN
18131,0.135,0.219,0.354,0.171,0.253,0.223,0.476,IN
18133,0.075,0.162,0.237,0.204,0.194,0.366,0.56,IN
18135,0.128,0.13,0.258,0.228,0.179,0.336,0.515,IN
18137,0.054,0.074,0.128,0.15,0.294,0.429,0.723,IN
18139,0.133,0.118,0.251,0.063,0.279,0.408,0.687,IN
18141,0.031,0.04,0.071,0.102,0.228,0.598,0.826,IN
18143,0.036,0.073,0.109,0.168,0.263,0.46,0.723,IN
18145,0.16,0.057,0.217,0.177,0.193,0.413,0.606,IN
18147,0.017,0.134,0.151,0.104,0.216,0.529,0.745,IN
18149,0.177,0.151,0.328,0.088,0.219,0.365,0.584,IN
18151,0.04,0.089,0.129,0.17,0.169,0.532,0.701,IN
18153,0.127,0.071,0.198,0.077,0.207,0.517,0.724,IN
18155,0.089,0.125,0.214,0.209,0.234,0.344,0.578,IN
18157,0.093,0.083,0.176,0.102,0.204,0.518,0.722,IN
18159,0.033,0.082,0.115,0.089,0.444,0.352,0.796,IN
18161,0.095,0.053,0.148,0.106,0.178,0.569,0.747,IN
18163,0.07,0.039,0.109,0.115,0.234,0.542,0.776,IN
18165,0.113,0.105,0.218,0.134,0.223,0.426,0.649,IN
18167,0.118,0.064,0.182,0.102,0.25,0.466,0.716,IN
18169,0.07,0.11,0.18,0.237,0.202,0.381,0.583,IN
18171,0.079,0.115,0.194,0.092,0.223,0.492,0.715,IN
18173,0.045,0.038,0.083,0.117,0.252,0.548,0.8,IN
18175,0.097,0.074,0.171,0.062,0.356,0.411,0.767,IN
18177,0.162,0.09,0.252,0.138,0.261,0.348,0.609,IN
18179,0.205,0.05,0.255,0.077,0.337,0.332,0.669,IN
18181,0.056,0.177,0.233,0.194,0.189,0.384,0.573,IN
18183,0.061,0.186,0.247,0.132,0.16,0.46,0.62,IN
MAX,0.205,0.219,0.354,0.283,0.444,0.66,0.844,IN
MIN,0.008,0.027,0.071,0.041,0.111,0.223,0.476,IN
AVERAGE,0.086097826,0.096434783,0.182532609,0.130423913,0.236923913,0.450217391,0.687141304,IN
19001,0.073,0.128,0.201,0.128,0.307,0.364,0.671,IA
19003,0.148,0.11,0.258,0.15,0.311,0.281,0.592,IA
19005,0.138,0.049,0.187,0.132,0.212,0.469,0.681,IA
19007,0.044,0.11,0.154,0.239,0.193,0.413,0.606,IA
19009,0.224,0.073,0.297,0.194,0.187,0.322,0.509,IA
19011,0.098,0.067,0.165,0.13,0.2,0.504,0.704,IA
19013,0.032,0.053,0.085,0.18,0.289,0.447,0.736,IA
19015,0.09,0.08,0.17,0.1,0.197,0.533,0.73,IA
19017,0.048,0.062,0.11,0.197,0.268,0.424,0.692,IA
19019,0.021,0.124,0.145,0.087,0.394,0.373,0.767,IA
19021,0.183,0.062,0.245,0.26,0.207,0.288,0.495,IA
19023,0.052,0.094,0.146,0.208,0.23,0.417,0.647,IA
19025,0.212,0.117,0.329,0.213,0.153,0.304,0.457,IA
19027,0.153,0.11,0.263,0.241,0.139,0.358,0.497,IA
19029,0.341,0.07,0.411,0.124,0.238,0.227,0.465,IA
19031,0.026,0.096,0.122,0.142,0.355,0.381,0.736,IA
19033,0.061,0.365,0.426,0.146,0.213,0.215,0.428,IA
19035,0.183,0.105,0.288,0.221,0.182,0.309,0.491,IA
19037,0.075,0.136,0.211,0.197,0.236,0.356,0.592,IA
19039,0.078,0.167,0.245,0.143,0.194,0.418,0.612,IA
19041,0.224,0.035,0.259,0.112,0.189,0.441,0.63,IA
19043,0.123,0.084,0.207,0.137,0.284,0.371,0.655,IA
19045,0.092,0.13,0.222,0.079,0.269,0.43,0.699,IA
19047,0.089,0.045,0.134,0.141,0.064,0.66,0.724,IA
19049,0.036,0.102,0.138,0.118,0.26,0.485,0.745,IA
19051,0.038,0.101,0.139,0.249,0.201,0.411,0.612,IA
19053,0.248,0.132,0.38,0.258,0.068,0.294,0.362,IA
19055,0.035,0.137,0.172,0.137,0.408,0.283,0.691,IA
19057,0.135,0.081,0.216,0.109,0.122,0.553,0.675,IA
19059,0.276,0.027,0.303,0.091,0.173,0.433,0.606,IA
19061,0.037,0.155,0.192,0.189,0.189,0.43,0.619,IA
19063,0.241,0.083,0.324,0.067,0.181,0.428,0.609,IA
19065,0.054,0.075,0.129,0.128,0.349,0.394,0.743,IA
19067,0.063,0.271,0.334,0.148,0.25,0.268,0.518,IA
19069,0.088,0.278,0.366,0.187,0.186,0.261,0.447,IA
19071,0.048,0.061,0.109,0.071,0.209,0.611,0.82,IA
19073,0.116,0.141,0.257,0.235,0.153,0.354,0.507,IA
19075,0.038,0.042,0.08,0.203,0.238,0.48,0.718,IA
19077,0.162,0.073,0.235,0.143,0.283,0.34,0.623,IA
19079,0.143,0.118,0.261,0.129,0.153,0.457,0.61,IA
19081,0.08,0.384,0.464,0.146,0.174,0.216,0.39,IA
19083,0.074,0.075,0.149,0.195,0.214,0.441,0.655,IA
19085,0.118,0.044,0.162,0.094,0.178,0.565,0.743,IA
19087,0.123,0.142,0.265,0.091,0.183,0.461,0.644,IA
19089,0.077,0.151,0.228,0.176,0.183,0.413,0.596,IA
19091,0.243,0.268,0.511,0.147,0.102,0.24,0.342,IA
19093,0.153,0.094,0.247,0.246,0.128,0.38,0.508,IA
19095,0.027,0.149,0.176,0.135,0.239,0.45,0.689,IA
19097,0.032,0.096,0.128,0.229,0.232,0.411,0.643,IA
19099,0.102,0.105,0.207,0.233,0.212,0.347,0.559,IA
19101,0.074,0.116,0.19,0.221,0.191,0.398,0.589,IA
19103,0.014,0.044,0.058,0.069,0.2,0.673,0.873,IA
19105,0.04,0.105,0.145,0.165,0.336,0.355,0.691,IA
19107,0.035,0.126,0.161,0.287,0.28,0.272,0.552,IA
19109,0.135,0.318,0.453,0.101,0.173,0.272,0.445,IA
19111,0.17,0.146,0.316,0.131,0.161,0.392,0.553,IA
19113,0.039,0.081,0.12,0.115,0.201,0.563,0.764,IA
19115,0.097,0.058,0.155,0.15,0.214,0.482,0.696,IA
19117,0.032,0.204,0.236,0.196,0.185,0.384,0.569,IA
19119,0.078,0.173,0.251,0.157,0.247,0.344,0.591,IA
19121,0.01,0.102,0.112,0.136,0.268,0.484,0.752,IA
19123,0.069,0.067,0.136,0.294,0.283,0.287,0.57,IA
19125,0.053,0.049,0.102,0.209,0.26,0.429,0.689,IA
19127,0.077,0.064,0.141,0.153,0.226,0.48,0.706,IA
19129,0.064,0.084,0.148,0.091,0.281,0.481,0.762,IA
19131,0.046,0.282,0.328,0.149,0.26,0.263,0.523,IA
19133,0.078,0.069,0.147,0.087,0.127,0.64,0.767,IA
19135,0.034,0.078,0.112,0.256,0.247,0.385,0.632,IA
19137,0.218,0.034,0.252,0.084,0.378,0.286,0.664,IA
19139,0.12,0.022,0.142,0.221,0.273,0.364,0.637,IA
19141,0.173,0.054,0.227,0.267,0.187,0.319,0.506,IA
19143,0.195,0.051,0.246,0.233,0.199,0.322,0.521,IA
19145,0.088,0.053,0.141,0.068,0.31,0.481,0.791,IA
19147,0.199,0.116,0.315,0.088,0.179,0.419,0.598,IA
19149,0.125,0.145,0.27,0.166,0.162,0.402,0.564,IA
19151,0.214,0.124,0.338,0.162,0.165,0.335,0.5,IA
19153,0.044,0.089,0.133,0.136,0.259,0.473,0.732,IA
19155,0.115,0.083,0.198,0.147,0.264,0.39,0.654,IA
19157,0.121,0.145,0.266,0.187,0.164,0.383,0.547,IA
19159,0.144,0.138,0.282,0.281,0.162,0.275,0.437,IA
19161,0.18,0.071,0.251,0.286,0.159,0.303,0.462,IA
19163,0.075,0.027,0.102,0.126,0.277,0.494,0.771,IA
19165,0.099,0.059,0.158,0.182,0.145,0.516,0.661,IA
19167,0.12,0.06,0.18,0.285,0.2,0.335,0.535,IA
19169,0.045,0.075,0.12,0.071,0.235,0.574,0.809,IA
19171,0.066,0.053,0.119,0.209,0.181,0.491,0.672,IA
19173,0.09,0.151,0.241,0.185,0.282,0.292,0.574,IA
19175,0.03,0.125,0.155,0.172,0.21,0.462,0.672,IA
19177,0.107,0.128,0.235,0.175,0.218,0.372,0.59,IA
19179,0.034,0.082,0.116,0.293,0.221,0.37,0.591,IA
19181,0.055,0.182,0.237,0.181,0.245,0.337,0.582,IA
19183,0.035,0.102,0.137,0.123,0.151,0.589,0.74,IA
19185,0.138,0.148,0.286,0.252,0.12,0.342,0.462,IA
19187,0.209,0.167,0.376,0.161,0.101,0.362,0.463,IA
19189,0.07,0.329,0.399,0.176,0.197,0.228,0.425,IA
19191,0.122,0.044,0.166,0.151,0.177,0.505,0.682,IA
19193,0.113,0.165,0.278,0.137,0.16,0.425,0.585,IA
19195,0.072,0.271,0.343,0.175,0.231,0.251,0.482,IA
19197,0.172,0.299,0.471,0.173,0.125,0.232,0.357,IA
MAX,0.341,0.384,0.511,0.294,0.408,0.673,0.873,IA
MIN,0.01,0.022,0.058,0.067,0.064,0.215,0.342,IA
AVERAGE,0.104323232,0.117323232,0.221646465,0.167424242,0.214707071,0.39620202,0.610909091,IA
20001,0.153,0.212,0.365,0.126,0.167,0.341,0.508,KS
20003,0.189,0.063,0.252,0.137,0.267,0.344,0.611,KS
20005,0.137,0.122,0.259,0.169,0.256,0.316,0.572,KS
20007,0.069,0.147,0.216,0.118,0.329,0.336,0.665,KS
20009,0.107,0.131,0.238,0.12,0.211,0.43,0.641,KS
20011,0.167,0.146,0.313,0.077,0.12,0.49,0.61,KS
20013,0.089,0.149,0.238,0.183,0.197,0.382,0.579,KS
20015,0.053,0.133,0.186,0.122,0.222,0.47,0.692,KS
20017,0.151,0.082,0.233,0.212,0.225,0.331,0.556,KS
20019,0.128,0.137,0.265,0.185,0.214,0.337,0.551,KS
20021,0.131,0.121,0.252,0.164,0.174,0.41,0.584,KS
20023,0.065,0.27,0.335,0.174,0.235,0.256,0.491,KS
20025,0.163,0.13,0.293,0.126,0.232,0.348,0.58,KS
20027,0.081,0.069,0.15,0.115,0.229,0.507,0.736,KS
20029,0.154,0.077,0.231,0.118,0.217,0.434,0.651,KS
20031,0.085,0.119,0.204,0.165,0.404,0.227,0.631,KS
20033,0.112,0.144,0.256,0.128,0.271,0.346,0.617,KS
20035,0.075,0.093,0.168,0.28,0.131,0.421,0.552,KS
20037,0.108,0.143,0.251,0.118,0.139,0.492,0.631,KS
20039,0.163,0.118,0.281,0.211,0.235,0.273,0.508,KS
20041,0.106,0.118,0.224,0.148,0.243,0.385,0.628,KS
20043,0.137,0.193,0.33,0.184,0.214,0.272,0.486,KS
20045,0.006,0.009,0.015,0.024,0.227,0.734,0.961,KS
20047,0.052,0.086,0.138,0.135,0.221,0.506,0.727,KS
20049,0.061,0.05,0.111,0.295,0.282,0.312,0.594,KS
20051,0.154,0.154,0.308,0.224,0.148,0.32,0.468,KS
20053,0.174,0.133,0.307,0.133,0.187,0.373,0.56,KS
20055,0.166,0.089,0.255,0.163,0.239,0.343,0.582,KS
20057,0.143,0.084,0.227,0.143,0.232,0.399,0.631,KS
20059,0.063,0.06,0.123,0.159,0.354,0.364,0.718,KS
20061,0.05,0.068,0.118,0.113,0.27,0.499,0.769,KS
20063,0.24,0.089,0.329,0.234,0.151,0.287,0.438,KS
20065,0.218,0.156,0.374,0.247,0.129,0.25,0.379,KS
20067,0.14,0.108,0.248,0.15,0.231,0.37,0.601,KS
20069,0.158,0.092,0.25,0.146,0.24,0.364,0.604,KS
20071,0.135,0.131,0.266,0.181,0.229,0.323,0.552,KS
20073,0.034,0.079,0.113,0.256,0.302,0.33,0.632,KS
20075,0.131,0.095,0.226,0.189,0.217,0.368,0.585,KS
20077,0.079,0.118,0.197,0.21,0.193,0.4,0.593,KS
20079,0.075,0.058,0.133,0.121,0.323,0.423,0.746,KS
20081,0.153,0.107,0.26,0.137,0.239,0.364,0.603,KS
20083,0.126,0.075,0.201,0.163,0.225,0.412,0.637,KS
20085,0.01,0.116,0.126,0.161,0.136,0.577,0.713,KS
20087,0.026,0.069,0.095,0.09,0.182,0.634,0.816,KS
20089,0.171,0.142,0.313,0.087,0.259,0.34,0.599,KS
20091,0.029,0.019,0.048,0.075,0.224,0.654,0.878,KS
20093,0.155,0.098,0.253,0.172,0.229,0.346,0.575,KS
20095,0.081,0.212,0.293,0.114,0.128,0.464,0.592,KS
20097,0.062,0.107,0.169,0.128,0.233,0.469,0.702,KS
20099,0.168,0.123,0.291,0.091,0.147,0.471,0.618,KS
20101,0.197,0.075,0.272,0.197,0.204,0.326,0.53,KS
20103,0.087,0.135,0.222,0.092,0.142,0.544,0.686,KS
20105,0.171,0.132,0.303,0.16,0.163,0.375,0.538,KS
20107,0.14,0.053,0.193,0.121,0.285,0.4,0.685,KS
20109,0.206,0.131,0.337,0.194,0.189,0.28,0.469,KS
20111,0.113,0.111,0.224,0.133,0.3,0.344,0.644,KS
20113,0.12,0.065,0.185,0.106,0.313,0.396,0.709,KS
20115,0.101,0.068,0.169,0.209,0.279,0.343,0.622,KS
20117,0.048,0.049,0.097,0.233,0.263,0.407,0.67,KS
20119,0.164,0.123,0.287,0.115,0.235,0.362,0.597,KS
20121,0.071,0.044,0.115,0.095,0.25,0.54,0.79,KS
20123,0.173,0.116,0.289,0.144,0.18,0.388,0.568,KS
20125,0.164,0.132,0.296,0.102,0.195,0.407,0.602,KS
20127,0.11,0.094,0.204,0.148,0.244,0.404,0.648,KS
20129,0.12,0.113,0.233,0.144,0.218,0.405,0.623,KS
20131,0.035,0.094,0.129,0.203,0.236,0.432,0.668,KS
20133,0.133,0.204,0.337,0.12,0.127,0.416,0.543,KS
20135,0.15,0.083,0.233,0.199,0.198,0.371,0.569,KS
20137,0.161,0.163,0.324,0.177,0.225,0.275,0.5,KS
20139,0.018,0.09,0.108,0.088,0.24,0.564,0.804,KS
20141,0.174,0.233,0.407,0.163,0.136,0.293,0.429,KS
20143,0.131,0.117,0.248,0.164,0.191,0.396,0.587,KS
20145,0.053,0.096,0.149,0.137,0.217,0.497,0.714,KS
20147,0.15,0.244,0.394,0.126,0.19,0.29,0.48,KS
20149,0.012,0.057,0.069,0.145,0.236,0.55,0.786,KS
20151,0.02,0.183,0.203,0.101,0.309,0.387,0.696,KS
20153,0.128,0.174,0.302,0.209,0.22,0.268,0.488,KS
20155,0.135,0.077,0.212,0.143,0.191,0.454,0.645,KS
20157,0.183,0.073,0.256,0.076,0.295,0.373,0.668,KS
20159,0.153,0.086,0.239,0.11,0.241,0.41,0.651,KS
20161,0.03,0.05,0.08,0.124,0.261,0.535,0.796,KS
20163,0.179,0.22,0.399,0.218,0.123,0.26,0.383,KS
20165,0.11,0.122,0.232,0.182,0.183,0.403,0.586,KS
20167,0.16,0.174,0.334,0.174,0.157,0.335,0.492,KS
20169,0.126,0.133,0.259,0.175,0.209,0.357,0.566,KS
20171,0.197,0.09,0.287,0.19,0.21,0.313,0.523,KS
20173,0.06,0.055,0.115,0.126,0.26,0.499,0.759,KS
20175,0.138,0.14,0.278,0.092,0.226,0.403,0.629,KS
20177,0.009,0.078,0.087,0.095,0.184,0.633,0.817,KS
20179,0.231,0.112,0.343,0.236,0.154,0.267,0.421,KS
20181,0.1,0.27,0.37,0.159,0.24,0.231,0.471,KS
20183,0.142,0.257,0.399,0.088,0.195,0.319,0.514,KS
20185,0.041,0.125,0.166,0.109,0.252,0.472,0.724,KS
20187,0.127,0.098,0.225,0.172,0.216,0.388,0.604,KS
20189,0.122,0.132,0.254,0.112,0.225,0.408,0.633,KS
20191,0.104,0.039,0.143,0.115,0.298,0.444,0.742,KS
20193,0.188,0.157,0.345,0.208,0.184,0.263,0.447,KS
20195,0.203,0.115,0.318,0.256,0.137,0.291,0.428,KS
20197,0.011,0.077,0.088,0.12,0.201,0.591,0.792,KS
20199,0.128,0.21,0.338,0.154,0.246,0.262,0.508,KS
20201,0.148,0.075,0.223,0.111,0.234,0.432,0.666,KS
20203,0.173,0.112,0.285,0.184,0.219,0.313,0.532,KS
20205,0.125,0.148,0.273,0.145,0.184,0.398,0.582,KS
20207,0.092,0.175,0.267,0.171,0.247,0.314,0.561,KS
20209,0.025,0.056,0.081,0.076,0.178,0.665,0.843,KS
MAX,0.24,0.27,0.407,0.295,0.404,0.734,0.961,KS
MIN,0.006,0.009,0.015,0.024,0.12,0.227,0.379,KS
AVERAGE,0.116885714,0.116942857,0.233828571,0.151114286,0.219466667,0.395590476,0.615057143,KS
21001,0.076,0.115,0.191,0.167,0.243,0.399,0.642,KY
21003,0.101,0.072,0.173,0.097,0.211,0.519,0.73,KY
21005,0.062,0.01,0.072,0.044,0.483,0.401,0.884,KY
21007,0.107,0.033,0.14,0.198,0.257,0.404,0.661,KY
21009,0.053,0.093,0.146,0.09,0.176,0.588,0.764,KY
21011,0.076,0.058,0.134,0.084,0.339,0.443,0.782,KY
21013,0.146,0.094,0.24,0.12,0.199,0.44,0.639,KY
21015,0.08,0.087,0.167,0.081,0.232,0.52,0.752,KY
21017,0.024,0.037,0.061,0.042,0.129,0.769,0.898,KY
21019,0.084,0.125,0.209,0.202,0.235,0.354,0.589,KY
21021,0.092,0.037,0.129,0.112,0.161,0.598,0.759,KY
21023,0.056,0.249,0.305,0.065,0.238,0.392,0.63,KY
21025,0.114,0.081,0.195,0.126,0.241,0.438,0.679,KY
21027,0.023,0.146,0.169,0.177,0.138,0.517,0.655,KY
21029,0.037,0.091,0.128,0.156,0.181,0.535,0.716,KY
21031,0.066,0.097,0.163,0.133,0.17,0.535,0.705,KY
21033,0.059,0.067,0.126,0.26,0.177,0.438,0.615,KY
21035,0.066,0.084,0.15,0.248,0.17,0.432,0.602,KY
21037,0.073,0.085,0.158,0.134,0.278,0.43,0.708,KY
21039,0.104,0.045,0.149,0.188,0.236,0.428,0.664,KY
21041,0.155,0.171,0.326,0.12,0.208,0.346,0.554,KY
21043,0.069,0.102,0.171,0.122,0.324,0.383,0.707,KY
21045,0.164,0.076,0.24,0.161,0.154,0.444,0.598,KY
21047,0.06,0.118,0.178,0.178,0.279,0.365,0.644,KY
21049,0.083,0.093,0.176,0.11,0.233,0.48,0.713,KY
21051,0.153,0.082,0.235,0.165,0.16,0.44,0.6,KY
21053,0.096,0.115,0.211,0.248,0.165,0.375,0.54,KY
21055,0.121,0.117,0.238,0.29,0.153,0.319,0.472,KY
21057,0.067,0.106,0.173,0.224,0.229,0.374,0.603,KY
21059,0.055,0.057,0.112,0.122,0.236,0.531,0.767,KY
21061,0.055,0.057,0.112,0.086,0.179,0.624,0.803,KY
21063,0.117,0.1,0.217,0.051,0.289,0.443,0.732,KY
21065,0.082,0.151,0.233,0.09,0.275,0.402,0.677,KY
21067,0.031,0.051,0.082,0.066,0.202,0.65,0.852,KY
21069,0.068,0.069,0.137,0.075,0.287,0.502,0.789,KY
21071,0.131,0.066,0.197,0.129,0.134,0.54,0.674,KY
21073,0.088,0.036,0.124,0.142,0.214,0.521,0.735,KY
21075,0.1,0.102,0.202,0.202,0.217,0.38,0.597,KY
21077,0.076,0.048,0.124,0.198,0.211,0.466,0.677,KY
21079,0.077,0.043,0.12,0.063,0.276,0.54,0.816,KY
21081,0.047,0.056,0.103,0.183,0.106,0.608,0.714,KY
21083,0.103,0.069,0.172,0.266,0.222,0.34,0.562,KY
21085,0.043,0.042,0.085,0.134,0.154,0.627,0.781,KY
21087,0.063,0.076,0.139,0.127,0.247,0.488,0.735,KY
21089,0.092,0.101,0.193,0.236,0.228,0.342,0.57,KY
21091,0.019,0.08,0.099,0.121,0.235,0.546,0.781,KY
21093,0.057,0.062,0.119,0.106,0.217,0.558,0.775,KY
21095,0.076,0.093,0.169,0.098,0.126,0.606,0.732,KY
21097,0.073,0.044,0.117,0.031,0.047,0.804,0.851,KY
21099,0.053,0.034,0.087,0.118,0.185,0.61,0.795,KY
21101,0.072,0.061,0.133,0.136,0.229,0.501,0.73,KY
21103,0.093,0.082,0.175,0.174,0.254,0.398,0.652,KY
21105,0.097,0.065,0.162,0.221,0.202,0.415,0.617,KY
21107,0.04,0.067,0.107,0.174,0.217,0.502,0.719,KY
21109,0.183,0.068,0.251,0.092,0.235,0.421,0.656,KY
21111,0.036,0.048,0.084,0.083,0.23,0.602,0.832,KY
21113,0.022,0.036,0.058,0.104,0.21,0.628,0.838,KY
21115,0.102,0.053,0.155,0.106,0.127,0.612,0.739,KY
21117,0.052,0.056,0.108,0.146,0.245,0.5,0.745,KY
21119,0.157,0.073,0.23,0.13,0.142,0.497,0.639,KY
21121,0.187,0.073,0.26,0.103,0.165,0.471,0.636,KY
21123,0.074,0.053,0.127,0.09,0.213,0.57,0.783,KY
21125,0.201,0.047,0.248,0.083,0.152,0.517,0.669,KY
21127,0.155,0.091,0.246,0.151,0.125,0.479,0.604,KY
21129,0.129,0.069,0.198,0.129,0.273,0.399,0.672,KY
21131,0.094,0.103,0.197,0.142,0.174,0.487,0.661,KY
21133,0.078,0.05,0.128,0.127,0.122,0.624,0.746,KY
21135,0.057,0.081,0.138,0.21,0.296,0.357,0.653,KY
21137,0.172,0.054,0.226,0.093,0.172,0.509,0.681,KY
21139,0.08,0.1,0.18,0.29,0.191,0.339,0.53,KY
21141,0.099,0.1,0.199,0.08,0.198,0.523,0.721,KY
21143,0.052,0.11,0.162,0.316,0.138,0.384,0.522,KY
21145,0.085,0.058,0.143,0.232,0.255,0.37,0.625,KY
21147,0.096,0.116,0.212,0.143,0.203,0.441,0.644,KY
21149,0.081,0.105,0.186,0.107,0.249,0.459,0.708,KY
21151,0.088,0.094,0.182,0.114,0.233,0.471,0.704,KY
21153,0.107,0.078,0.185,0.111,0.164,0.54,0.704,KY
21155,0.046,0.082,0.128,0.074,0.144,0.654,0.798,KY
21157,0.061,0.083,0.144,0.28,0.18,0.395,0.575,KY
21159,0.108,0.055,0.163,0.096,0.104,0.637,0.741,KY
21161,0.056,0.119,0.175,0.061,0.284,0.479,0.763,KY
21163,0.018,0.154,0.172,0.115,0.154,0.559,0.713,KY
21165,0.161,0.088,0.249,0.067,0.215,0.468,0.683,KY
21167,0.047,0.012,0.059,0.178,0.195,0.567,0.762,KY
21169,0.048,0.109,0.157,0.134,0.222,0.487,0.709,KY
21171,0.082,0.134,0.216,0.185,0.15,0.448,0.598,KY
21173,0.03,0.041,0.071,0.085,0.392,0.452,0.844,KY
21175,0.133,0.116,0.249,0.071,0.182,0.498,0.68,KY
21177,0.035,0.154,0.189,0.123,0.2,0.488,0.688,KY
21179,0.033,0.106,0.139,0.068,0.244,0.548,0.792,KY
21181,0.023,0.025,0.048,0.09,0.271,0.591,0.862,KY
21183,0.064,0.145,0.209,0.109,0.19,0.492,0.682,KY
21185,0.025,0.039,0.064,0.098,0.278,0.56,0.838,KY
21187,0.091,0.039,0.13,0.114,0.198,0.558,0.756,KY
21189,0.121,0.058,0.179,0.157,0.282,0.382,0.664,KY
21191,0.035,0.121,0.156,0.103,0.129,0.613,0.742,KY
21193,0.123,0.093,0.216,0.111,0.171,0.502,0.673,KY
21195,0.096,0.088,0.184,0.123,0.148,0.545,0.693,KY
21197,0.112,0.099,0.211,0.102,0.232,0.455,0.687,KY
21199,0.13,0.123,0.253,0.096,0.164,0.487,0.651,KY
21201,0.048,0.123,0.171,0.039,0.204,0.586,0.79,KY
21203,0.215,0.079,0.294,0.075,0.157,0.474,0.631,KY
21205,0.159,0.097,0.256,0.047,0.231,0.467,0.698,KY
21207,0.096,0.138,0.234,0.195,0.206,0.365,0.571,KY
21209,0.04,0.044,0.084,0.076,0.081,0.759,0.84,KY
21211,0.092,0.107,0.199,0.054,0.261,0.487,0.748,KY
21213,0.137,0.066,0.203,0.162,0.208,0.426,0.634,KY
21215,0.032,0.058,0.09,0.047,0.41,0.453,0.863,KY
21217,0.073,0.073,0.146,0.111,0.21,0.533,0.743,KY
21219,0.058,0.147,0.205,0.135,0.266,0.394,0.66,KY
21221,0.066,0.053,0.119,0.131,0.152,0.597,0.749,KY
21223,0.134,0.172,0.306,0.135,0.217,0.342,0.559,KY
21225,0.211,0.079,0.29,0.229,0.172,0.309,0.481,KY
21227,0.076,0.067,0.143,0.063,0.185,0.609,0.794,KY
21229,0.035,0.066,0.101,0.116,0.221,0.562,0.783,KY
21231,0.102,0.151,0.253,0.16,0.169,0.417,0.586,KY
21233,0.088,0.084,0.172,0.167,0.21,0.451,0.661,KY
21235,0.176,0.062,0.238,0.113,0.174,0.476,0.65,KY
21237,0.14,0.095,0.235,0.114,0.203,0.448,0.651,KY
21239,0.042,0.017,0.059,0.049,0.193,0.698,0.891,KY
MAX,0.215,0.249,0.326,0.316,0.483,0.804,0.898,KY
MIN,0.018,0.01,0.048,0.031,0.047,0.309,0.472,KY
AVERAGE,0.086333333,0.083125,0.169458333,0.131091667,0.207991667,0.4914,0.699391667,KY
22001,0.122,0.111,0.233,0.138,0.265,0.362,0.627,LA
22003,0.196,0.07,0.266,0.118,0.2,0.416,0.616,LA
22005,0.049,0.092,0.141,0.142,0.148,0.569,0.717,LA
22007,0.079,0.034,0.113,0.213,0.206,0.468,0.674,LA
22009,0.13,0.092,0.222,0.073,0.246,0.459,0.705,LA
22011,0.086,0.069,0.155,0.169,0.191,0.486,0.677,LA
22013,0.078,0.052,0.13,0.17,0.291,0.409,0.7,LA
22015,0.068,0.096,0.164,0.144,0.225,0.468,0.693,LA
22017,0.058,0.079,0.137,0.158,0.209,0.497,0.706,LA
22019,0.102,0.139,0.241,0.077,0.212,0.471,0.683,LA
22021,0.102,0.061,0.163,0.098,0.241,0.498,0.739,LA
22023,0.089,0.127,0.216,0.079,0.201,0.505,0.706,LA
22025,0.11,0.056,0.166,0.086,0.147,0.6,0.747,LA
22027,0.146,0.068,0.214,0.04,0.273,0.473,0.746,LA
22029,0.11,0.104,0.214,0.112,0.095,0.579,0.674,LA
22031,0.035,0.075,0.11,0.132,0.162,0.596,0.758,LA
22033,0.052,0.031,0.083,0.09,0.183,0.642,0.825,LA
22035,0.022,0.046,0.068,0.121,0.137,0.674,0.811,LA
22037,0.067,0.053,0.12,0.095,0.366,0.42,0.786,LA
22039,0.215,0.077,0.292,0.111,0.211,0.387,0.598,LA
22041,0.123,0.054,0.177,0.102,0.156,0.565,0.721,LA
22043,0.086,0.041,0.127,0.109,0.229,0.535,0.764,LA
22045,0.112,0.084,0.196,0.085,0.253,0.467,0.72,LA
22047,0.061,0.021,0.082,0.084,0.19,0.644,0.834,LA
22049,0.116,0.083,0.199,0.127,0.29,0.383,0.673,LA
22051,0.044,0.031,0.075,0.066,0.174,0.685,0.859,LA
22053,0.249,0.111,0.36,0.09,0.196,0.354,0.55,LA
22055,0.062,0.083,0.145,0.105,0.217,0.533,0.75,LA
22057,0.078,0.039,0.117,0.159,0.151,0.573,0.724,LA
22059,0.082,0.035,0.117,0.089,0.223,0.571,0.794,LA
22061,0.102,0.08,0.182,0.111,0.29,0.417,0.707,LA
22063,0.06,0.043,0.103,0.144,0.29,0.463,0.753,LA
22065,0.034,0.068,0.102,0.109,0.172,0.617,0.789,LA
22067,0.039,0.105,0.144,0.124,0.166,0.566,0.732,LA
22069,0.096,0.063,0.159,0.113,0.167,0.561,0.728,LA
22071,0.019,0.034,0.053,0.087,0.206,0.654,0.86,LA
22073,0.076,0.098,0.174,0.121,0.229,0.476,0.705,LA
22075,0.065,0.035,0.1,0.165,0.222,0.513,0.735,LA
22077,0.044,0.082,0.126,0.068,0.198,0.608,0.806,LA
22079,0.106,0.046,0.152,0.087,0.236,0.524,0.76,LA
